localidad,latitud,longitud
usaquen,4.6869486,-74.0571685
usaquen,4.6867864,-74.0563848
usaquen,4.6864427,-74.0549382
usaquen,4.6863871,-74.0546701
usaquen,4.6862325,-74.053883
usaquen,4.6859779,-74.0523363
usaquen,4.685874,-74.0517891
usaquen,4.6856687,-74.0505899
usaquen,4.6855989,-74.0502549
usaquen,4.6855295,-74.0499166
usaquen,4.685389,-74.0493536
usaquen,4.6852392,-74.0489009
usaquen,4.6849419,-74.0480512
usaquen,4.6846512,-74.0473964
usaquen,4.6842718,-74.0466493
usaquen,4.6841851,-74.0464786
usaquen,4.6839772,-74.0460544
usaquen,4.6832031,-74.0444746
usaquen,4.682746,-74.0435417
usaquen,4.6816073,-74.0414003
usaquen,4.6810209,-74.0403327
usaquen,4.6806429,-74.0396288
usaquen,4.6805627,-74.0394794
usaquen,4.6804585,-74.039139
usaquen,4.6776353,-74.0332445
usaquen,4.6776501,-74.0331447
usaquen,4.6776491,-74.0330697
usaquen,4.6776404,-74.0329499
usaquen,4.6776252,-74.032781
usaquen,4.6775973,-74.0325777
usaquen,4.6775,-74.0319354
usaquen,4.6774723,-74.0317684
usaquen,4.6774378,-74.031594
usaquen,4.6773811,-74.0313761
usaquen,4.6773029,-74.0311389
usaquen,4.6772438,-74.0310179
usaquen,4.6771969,-74.0309173
usaquen,4.6771407,-74.0308203
usaquen,4.6770722,-74.0307435
usaquen,4.6770191,-74.0307003
usaquen,4.6769659,-74.0306571
usaquen,4.6769071,-74.0306266
usaquen,4.6768322,-74.0306011
usaquen,4.6767745,-74.0305971
usaquen,4.6767167,-74.0305931
usaquen,4.6765007,-74.0306268
usaquen,4.6762381,-74.0306759
usaquen,4.6761473,-74.0306961
usaquen,4.676027,-74.0307023
usaquen,4.675933,-74.0306959
usaquen,4.6758507,-74.0306656
usaquen,4.6757757,-74.0306219
usaquen,4.6757247,-74.0305685
usaquen,4.6756861,-74.0305151
usaquen,4.6756335,-74.0304169
usaquen,4.6756013,-74.0302891
usaquen,4.675581,-74.0301734
usaquen,4.6755603,-74.0299689
usaquen,4.6755387,-74.0297488
usaquen,4.6754326,-74.0287808
usaquen,4.6753803,-74.0283126
usaquen,4.675356,-74.0280877
usaquen,4.6753369,-74.0279116
usaquen,4.6753342,-74.027841
usaquen,4.6753315,-74.0277703
usaquen,4.6753387,-74.0276407
usaquen,4.6753687,-74.0275044
usaquen,4.6754237,-74.0274119
usaquen,4.6754895,-74.0273334
usaquen,4.6757861,-74.0270552
usaquen,4.6758443,-74.0269854
usaquen,4.6758732,-74.0269133
usaquen,4.6758881,-74.0267881
usaquen,4.6758776,-74.0266802
usaquen,4.6758574,-74.0265703
usaquen,4.6756168,-74.0258202
usaquen,4.6753269,-74.0249808
usaquen,4.6752733,-74.0248094
usaquen,4.6752372,-74.0246715
usaquen,4.6752289,-74.0245737
usaquen,4.6752507,-74.0244482
usaquen,4.6752905,-74.0243291
usaquen,4.6753766,-74.0241716
usaquen,4.675447,-74.0240461
usaquen,4.6755259,-74.0239089
usaquen,4.6755799,-74.0238048
usaquen,4.6756064,-74.0236906
usaquen,4.6756109,-74.0235925
usaquen,4.6755882,-74.0234928
usaquen,4.6755454,-74.023406
usaquen,4.6754911,-74.0233419
usaquen,4.6754319,-74.0232834
usaquen,4.6753524,-74.0232304
usaquen,4.675223,-74.023168
usaquen,4.674994,-74.0230499
usaquen,4.6749044,-74.0229984
usaquen,4.6748117,-74.02293
usaquen,4.6747535,-74.0228738
usaquen,4.6747069,-74.0228021
usaquen,4.6746825,-74.0227352
usaquen,4.6746805,-74.0226539
usaquen,4.6747048,-74.0225624
usaquen,4.6747616,-74.0224608
usaquen,4.6748163,-74.0223795
usaquen,4.6748695,-74.0222817
usaquen,4.6749113,-74.0221926
usaquen,4.6749441,-74.0220995
usaquen,4.6749651,-74.0219618
usaquen,4.6749646,-74.0218285
usaquen,4.6749621,-74.0217209
usaquen,4.6749439,-74.021605
usaquen,4.6749276,-74.0215525
usaquen,4.6749155,-74.0215136
usaquen,4.6748588,-74.0214017
usaquen,4.6748021,-74.0213225
usaquen,4.6747262,-74.0212455
usaquen,4.6746076,-74.0211618
usaquen,4.6745081,-74.0211078
usaquen,4.6742129,-74.0209526
usaquen,4.6741381,-74.0209158
usaquen,4.6740071,-74.0208323
usaquen,4.6739524,-74.0207767
usaquen,4.6738962,-74.0207003
usaquen,4.6738568,-74.020601
usaquen,4.6738411,-74.0204945
usaquen,4.6738336,-74.0204062
usaquen,4.6738902,-74.0201592
usaquen,4.6739237,-74.0199835
usaquen,4.67394,-74.0198819
usaquen,4.6739401,-74.0197791
usaquen,4.6739203,-74.0196605
usaquen,4.6738548,-74.019501
usaquen,4.67375,-74.0192825
usaquen,4.6736867,-74.0191506
usaquen,4.6736317,-74.019043
usaquen,4.6735496,-74.0188789
usaquen,4.6734891,-74.018782
usaquen,4.6734055,-74.0186712
usaquen,4.6733091,-74.0185786
usaquen,4.6732008,-74.0184878
usaquen,4.6730691,-74.0184272
usaquen,4.6729427,-74.0183773
usaquen,4.672837,-74.018336
usaquen,4.6727554,-74.0182962
usaquen,4.6726732,-74.0182306
usaquen,4.6726201,-74.0181565
usaquen,4.6725814,-74.0180784
usaquen,4.6725501,-74.0178845
usaquen,4.6725267,-74.0176912
usaquen,4.6724964,-74.017488
usaquen,4.6724671,-74.0173227
usaquen,4.6724139,-74.017165
usaquen,4.6723683,-74.0170685
usaquen,4.6723304,-74.017016
usaquen,4.6722739,-74.0169377
usaquen,4.6721805,-74.0168579
usaquen,4.6720872,-74.0168086
usaquen,4.6719356,-74.0167492
usaquen,4.6716449,-74.0166353
usaquen,4.671201,-74.0164674
usaquen,4.6708535,-74.0163386
usaquen,4.6706892,-74.0162645
usaquen,4.6705229,-74.0159613
usaquen,4.6703994,-74.0156427
usaquen,4.6700659,-74.0144515
usaquen,4.6699614,-74.0142322
usaquen,4.6690079,-74.0129542
usaquen,4.6688757,-74.0127957
usaquen,4.6684126,-74.0126024
usaquen,4.668012,-74.0126381
usaquen,4.6679441,-74.0126442
usaquen,4.6677254,-74.0126637
usaquen,4.6674109,-74.0129399
usaquen,4.6669814,-74.0136686
usaquen,4.6664668,-74.0140181
usaquen,4.6662615,-74.0138923
usaquen,4.6663259,-74.013196
usaquen,4.6664484,-74.0125692
usaquen,4.6664131,-74.0123569
usaquen,4.6663614,-74.0120467
usaquen,4.6661407,-74.0116674
usaquen,4.6660707,-74.011573
usaquen,4.6655565,-74.0112293
usaquen,4.6644458,-74.0108385
usaquen,4.6638578,-74.0106069
usaquen,4.6634746,-74.0104518
usaquen,4.6633365,-74.0103885
usaquen,4.663172,-74.0103219
usaquen,4.6628134,-74.0101987
usaquen,4.6626903,-74.0101367
usaquen,4.6625389,-74.0100334
