,type,id,geometry,properties,centroid,pixel_coord
0,Feature,8866e429a5fffff,"{'type': 'Polygon', 'coordinates': [[[-74.16455335043997, 4.699794740773242], [-74.16857276087836, 4.697114861970094], [-74.16805619678485, 4.692265007995216], [-74.1635201188443, 4.69009517384997], [-74.15950078486509, 4.692775240768155], [-74.16001745235832, 4.697624953707342]]]}",{'value': 0},"[4.694945057874073, -74.16403674174285]","[58, 54]"
1,Feature,8866e091d9fffff,"{'type': 'Polygon', 'coordinates': [[[-74.12492790327536, 4.570323795442114], [-74.12894765595638, 4.567639713014858], [-74.12843039807456, 4.5627848744574555], [-74.12389328418027, 4.560614260096379], [-74.11987360850435, 4.563298530420872], [-74.12039096970875, 4.568153227200047]]]}",{'value': 0},"[4.565469127518143, -74.124410600837]","[72, 59]"
2,Feature,8866e42a97fffff,"{'type': 'Polygon', 'coordinates': [[[-74.0358896407958, 4.744033808293817], [-74.03990425710151, 4.741357348179104], [-74.03938620088496, 4.7365111990719635], [-74.034853425508, 4.734341652447022], [-74.03083888720613, 4.737018301244265], [-74.03135704626845, 4.741864307974778]]]}",{'value': 0},"[4.739187831018376, -74.03537154025884]","[53, 68]"
3,Feature,8866e42983fffff,"{'type': 'Polygon', 'coordinates': [[[-74.13033608672816, 4.701833760880049], [-74.13435434928198, 4.699154430619112], [-74.13383737180067, 4.694305141356901], [-74.12930202849782, 4.692135323761978], [-74.12528384281927, 4.694814842262819], [-74.1258009235595, 4.699663990109489]]]}",{'value': 0},"[4.696984642849498, -74.12981906471583]","[58, 58]"
4,Feature,8866e42d41fffff,"{'type': 'Polygon', 'coordinates': [[[-74.03822012742785, 4.685360143627996], [-74.04223556464086, 4.68268148521466], [-74.04171744072056, 4.677832782145405], [-74.03718377668508, 4.675662879968078], [-74.03316841747665, 4.678341726896806], [-74.0336866442903, 4.68319028747834]]]}",{'value': 0},"[4.680511612106067, -74.03770195916593]","[60, 68]"
5,Feature,8866e428c3fffff,"{'type': 'Polygon', 'coordinates': [[[-74.06852896584712, 4.72746493992772], [-74.07254486972448, 4.724787412639008], [-74.07202718261351, 4.719940091112866], [-74.06749348862627, 4.7177704389159665], [-74.06347766236411, 4.720448154729149], [-74.06399545246501, 4.725295334205607]]]}",{'value': 0},"[4.722617790017061, -74.0680112343423]","[55, 65]"
6,Feature,8866e42139fffff,"{'type': 'Polygon', 'coordinates': [[[-74.02501483767696, 4.803179906213588], [-74.02902834448173, 4.80050578702082], [-74.02851025315869, 4.795662342172787], [-74.02397855225911, 4.793493158867402], [-74.01996512356118, 4.796167466939055], [-74.02048331764706, 4.801010769428069]]]}",{'value': 0},"[4.798336633518522, -74.02449670207301]","[47, 70]"
7,Feature,8866e0901dfffff,"{'type': 'Polygon', 'coordinates': [[[-74.11092033395511, 4.600472534057229], [-74.11493924398314, 4.597789748717829], [-74.1144218648011, 4.59293639170079], [-74.10988547233637, 4.590765961881074], [-74.10586663946958, 4.593448935250108], [-74.10638412189729, 4.598302150400072]]]}",{'value': 0},"[4.59561934787676, -74.11040291025444]","[69, 60]"
8,Feature,8866e09317fffff,"{'type': 'Polygon', 'coordinates': [[[-74.14474348486914, 4.635074812054291], [-74.14876306694373, 4.632392830281076], [-74.1482461559836, 4.62754047824481], [-74.14370955957872, 4.62537024937968], [-74.13969005423615, 4.628052419160051], [-74.14020706855752, 4.632904629789212]]]}",{'value': 0},"[4.630222630873382, -74.14422652932882]","[65, 56]"
9,Feature,8866e42f01fffff,"{'type': 'Polygon', 'coordinates': [[[-74.01568622227, 4.715970145628239], [-74.01970052617105, 4.71329293079202], [-74.01918217899646, 4.7084458599559165], [-74.01464942513064, 4.706276146615625], [-74.01063519949275, 4.7089535501285535], [-74.01115364944866, 4.71380047829595]]]}",{'value': 0},"[4.7111232465786355, -74.01516783080979]","[56, 71]"
10,Feature,8866e092e1fffff,"{'type': 'Polygon', 'coordinates': [[[-74.08331033930142, 4.624099515637597], [-74.08732804099918, 4.621417977949405], [-74.0868103645982, 4.616566017414643], [-74.08227488337297, 4.614395736682317], [-74.07825725916115, 4.617077462561455], [-74.07877503867968, 4.621929280972834]]]}",{'value': 0},"[4.619247726169384, -74.08279261844649]","[66, 63]"
11,Feature,8866e0956bfffff,"{'type': 'Polygon', 'coordinates': [[[-74.06388033547285, 4.522684165758168], [-74.0678986820331, 4.519999176088813], [-74.06738060380025, 4.515143170363253], [-74.06284407589408, 4.512972296872623], [-74.05882580710602, 4.515657474518814], [-74.059343988443, 4.520513337669698]]]}",{'value': 0},"[4.517828330701294, -74.06336221279861]","[78, 65]"
12,Feature,8866e090b7fffff,"{'type': 'Polygon', 'coordinates': [[[-74.09460110267923, 4.5281681829369225], [-74.09862039235423, 4.5254829731556345], [-74.09810269660267, 4.520626767493813], [-74.09356560794083, 4.51845591382017], [-74.08954639566099, 4.521141311486752], [-74.09006419463884, 4.5259973749325475]]]}",{'value': 0},"[4.523312147838093, -74.09408336242296]","[77, 62]"
13,Feature,8866e428a3fffff,"{'type': 'Polygon', 'coordinates': [[[-74.09107444622066, 4.696852315727497], [-74.0950914811421, 4.694173346515573], [-74.09457401795754, 4.689324392952647], [-74.09003941674064, 4.6871545504604475], [-74.08602245917507, 4.689833708035438], [-74.0865400254616, 4.694682519730384]]]}",{'value': 0},"[4.692003533540511, -74.09055693858625]","[58, 62]"
14,Feature,8866e0954bfffff,"{'type': 'Polygon', 'coordinates': [[[-74.0432727580644, 4.5312518310763386], [-74.04729031554422, 4.528567437971748], [-74.04677200096529, 4.523712087034275], [-74.04223602588337, 4.521541271979411], [-74.03821854642246, 4.524225853156428], [-74.03873696401553, 4.529081061306786]]]}",{'value': 0},"[4.52639665093665, -74.04275439908992]","[77, 68]"
15,Feature,8866e42127fffff,"{'type': 'Polygon', 'coordinates': [[[-74.05065190134331, 4.801664564325781], [-74.05466627443468, 4.798990029183851], [-74.05414849161184, 4.794146157824933], [-74.04961623281991, 4.791976963674686], [-74.04560193752468, 4.79465168760256], [-74.0461198232162, 4.799495416885579]]]}",{'value': 0},"[4.796820865004096, -74.05013407418511]","[47, 67]"
16,Feature,8866e42813fffff,"{'type': 'Polygon', 'coordinates': [[[-74.08718113560911, 4.7409900649959065], [-74.09119748258479, 4.738312776898488], [-74.09068004418339, 4.733465775517812], [-74.08614615573998, 4.731296204034385], [-74.08212988614605, 4.733973680627981], [-74.0826474276048, 4.738820540199661]]]}",{'value': 0},"[4.736143235214514, -74.08666365277844]","[53, 63]"
17,Feature,8866e42137fffff,"{'type': 'Polygon', 'coordinates': [[[-74.03200590963269, 4.788144076541524], [-74.0360198382503, 4.7854693023629], [-74.03550180709777, 4.780625109564556], [-74.0309697445175, 4.778455833252048], [-74.02695589392926, 4.781130796245161], [-74.02747402788293, 4.785974846727148]]]}",{'value': 0},"[4.783300055796721, -74.03148783418033]","[48, 69]"
18,Feature,8866e0950dfffff,"{'type': 'Polygon', 'coordinates': [[[-74.05882580710602, 4.515657474518814], [-74.06284407589408, 4.512972296872623], [-74.06232592475874, 4.5081160643309], [-74.05778940173849, 4.505945152073924], [-74.05377121078772, 4.508630517694834], [-74.05428946501104, 4.513486607588901]]]}",{'value': 0},"[4.51080141263397, -74.05830761153805]","[78, 66]"
19,Feature,8866e428abfffff,"{'type': 'Polygon', 'coordinates': [[[-74.0875751154008, 4.7043795403212725], [-74.09159193964445, 4.701700896963243], [-74.09107444622066, 4.696852315727497], [-74.0865400254616, 4.694682519730384], [-74.08252327861271, 4.697361351484103], [-74.08304087511925, 4.702209790830073]]]}",{'value': 0},"[4.699531130511709, -74.08705757753671]","[57, 63]"
20,Feature,8866e428c9fffff,"{'type': 'Polygon', 'coordinates': [[[-74.07008207509853, 4.742005181936743], [-74.07409784579619, 4.7393281696172], [-74.07358020131528, 4.734481451949198], [-74.06904668314104, 4.732311888589902], [-74.0650309900326, 4.734989089467798], [-74.06554873750031, 4.739835665137487]]]}",{'value': 0},"[4.737158635945575, -74.06956438622467]","[53, 65]"
21,Feature,8866e42835fffff,"{'type': 'Polygon', 'coordinates': [[[-74.12138492969228, 4.738958224133877], [-74.12540242738544, 4.736280385130942], [-74.12488540156568, 4.731432817461475], [-74.12035077484558, 4.729263230215833], [-74.1163333541187, 4.731941257590441], [-74.11685048313677, 4.7367886838298405]]]}",{'value': 0},"[4.734110827908385, -74.12086785937072]","[54, 59]"
22,Feature,8866e0903dfffff,"{'type': 'Polygon', 'coordinates': [[[-74.13153373211378, 4.591910911597421], [-74.13555342804045, 4.589227529129573], [-74.13503628580531, 4.584373518127939], [-74.1304993442991, 4.58220303123954], [-74.1264797252864, 4.584886601641489], [-74.12699697085702, 4.589740470988566]]]}",{'value': 0},"[4.587057071303366, -74.13101654531408]","[70, 58]"
